date,Voltage,Charge_Capacity,Current
06/21/2018 23:37:37.000,4.399905205,2.40058136,0.754193306
06/21/2018 23:39:37.000,4.400017738,2.425246954,0.725754738
06/21/2018 23:41:37.000,4.399975777,2.44897604,0.698278427
06/21/2018 23:43:37.000,4.399989128,2.471800327,0.671457291
06/21/2018 23:45:37.000,4.399977684,2.488243818,0.651997566
06/21/2018 23:47:37.000,4.256407738,2.488246441,0
06/21/2018 23:49:37.000,4.238385201,2.488246441,0
06/21/2018 23:51:37.000,4.233345032,2.488246441,0
06/21/2018 23:53:37.000,3.302373886,2.488246441,-6.51990366
06/21/2018 23:55:37.000,3.250101089,2.488246441,-6.519865036
06/21/2018 23:57:37.000,3.177636147,2.488246441,-6.519838333
06/21/2018 23:59:37.000,3.102643013,2.488246441,-6.519831657
06/22/2018 00:01:37.000,3.020334244,2.488246441,-6.519851685
06/22/2018 00:03:37.000,2.999995232,2.488246441,-6.519987583
06/22/2018 00:05:37.000,3.83690834,2.488246441,0
06/22/2018 00:07:37.000,3.853124619,2.488246441,0
06/22/2018 00:09:37.000,3.856343269,2.488246441,0
06/22/2018 00:11:37.000,4.20006752,0.017494546,3.259883881
06/22/2018 00:13:37.000,4.31061554,0.125906333,3.259986877
06/22/2018 00:15:37.000,4.341393471,0.234578222,3.259931564
06/22/2018 00:17:37.000,4.387013435,0.343234628,3.259904861
06/22/2018 00:19:37.000,4.399995804,0.44624427,2.835445404
06/22/2018 00:21:37.000,4.39993,0.532967389,2.386770248
06/22/2018 00:23:37.000,4.399978638,0.606641829,2.049077988
06/22/2018 00:25:37.000,4.400006294,0.670592785,1.798495293
06/22/2018 00:27:37.000,4.40000248,0.727197289,1.606517792
06/22/2018 00:29:37.000,4.400007248,0.778179884,1.457952499
06/22/2018 00:31:37.000,4.400009155,0.82470572,1.337371826
06/22/2018 00:33:37.000,4.399987221,0.867565334,1.236731529
06/22/2018 00:35:37.000,4.399945259,0.907324135,1.150551796
06/22/2018 00:37:37.000,4.400044441,0.944439352,1.077884674
