date,Voltage
18:49:50,3450
18:49:51,3450
18:49:52,3450
18:49:53,3450
18:49:54,3450
18:49:55,3450
18:49:56,3450
18:49:57,3450
18:49:58,3450
18:49:59,3450
18:50:00,3450
18:50:01,3450
18:50:02,3450
18:50:03,3450
18:50:04,3450
18:50:05,3450
18:50:06,3450
18:50:07,3450
18:50:08,3450
18:50:09,3450
18:50:10,3450
18:50:11,3450
18:50:12,3450
18:50:13,3450
18:50:14,3450
18:50:15,3450
18:50:16,3450
18:50:17,3450
18:50:18,3450
18:50:19,3450
18:50:20,3450
18:50:21,3835
18:50:22,3835
18:50:23,3835
18:50:24,3835
18:50:25,3835
18:50:26,3835
18:50:27,3835
18:50:28,3835
18:50:29,3835
18:50:30,3835
18:50:31,3835
18:50:32,3835
18:50:33,3835
18:50:34,3835
18:50:35,3835
18:50:36,3835
18:50:37,3835
18:50:38,3835
18:50:39,3835
18:50:40,3835
18:50:41,3835
18:50:42,3835
18:50:43,3835
18:50:44,3835
18:50:45,3835
18:50:46,3835
18:50:47,3835
18:50:48,3835
18:50:49,3835
18:50:50,3835
18:50:51,3835
18:50:52,3835
18:50:53,3835
18:50:54,3835
18:50:55,3835
18:50:56,3835
18:50:57,3835
18:50:58,3835
18:50:59,3835
18:51:00,3835
18:51:01,3835
18:51:02,3835
18:51:03,3835
18:51:04,3835
18:51:05,3835
18:51:06,3835
18:51:07,3835
18:51:08,3835
18:51:09,3835
18:51:10,3835
18:51:11,3835
18:51:12,3835
18:51:13,3835
18:51:14,3835
18:51:15,3835
18:51:16,3835
18:51:17,3835
18:51:18,3835
18:51:19,3835
18:51:20,3860
18:51:21,3860
18:51:22,3860
18:51:23,3860
18:51:24,3860
18:51:25,3860
18:51:26,3860
18:51:27,3860
18:51:28,3860
18:51:29,3860
18:51:30,3860
18:51:31,3860
18:51:32,3860
18:51:33,3860
18:51:34,3860
18:51:35,3860
18:51:36,3860
18:51:37,3860
18:51:38,3860
18:51:39,3860
18:51:40,3860
18:51:41,3860
18:51:42,3860
18:51:43,3860
18:51:44,3860
18:51:45,3860
18:51:46,3860
18:51:47,3860
18:51:48,3860
18:51:49,3860
18:51:50,3860
18:51:51,3860
18:51:52,3860
18:51:53,3860
18:51:54,3860
18:51:55,3860
18:51:56,3860
18:51:57,3860
18:51:58,3860
18:51:59,3860
18:52:00,3860
18:52:01,3860
18:52:02,3860
18:52:03,3860
18:52:04,3860
18:52:05,3860
18:52:06,4200
18:52:07,4200
18:52:08,4200
18:52:09,4200
18:52:10,4200
18:52:11,4200
18:52:12,4200
18:52:13,4200
18:52:14,4200
18:52:15,4200
18:52:16,4200
